Gene_Symbol,Entrez_GeneId,Genome_Location,Role_in_Cancer,n_tumor_types,n_project_cancers,matched_project_cancers,all_tumor_types
ABL1,25,9:130713946-130885683,"oncogene, fusion",3,0,"",cml; all; t-all
ACVR2A,92,2:147844517-147930824,TSG,5,1,colorectal,large intestine carcinoma; stomach carcinoma; pancreatic carcinoma; biliary tract; oesophagus
AFF3,3899,2:99551121-100106128,"oncogene, fusion",2,0,"",all; t-all
AKT1,207,14:104769349-104794124,oncogene,4,3,breast; colorectal; ovarian,breast; colorectal; ovarian; nsclc
AKT2,208,19:40230317-40285395,oncogene,2,1,ovarian,ovarian; pancreatic
ALK,238,2:29192774-29921566,"oncogene, fusion",5,0,"",alcl; nsclc; neuroblastoma; inflammatory myofibroblastic tumour; spitzoid tumour
APC,324,5:112737888-112846239,TSG,6,1,colorectal,colorectal; pancreatic; desmoid; hepatoblastoma; glioma; other cns
ARHGAP26,23092,5:142770377-143229011,"TSG, fusion",2,0,"",aml; mds
ARID1A,8289,1:26696033-26782110,"TSG, fusion",3,1,breast,clear cell ovarian carcinoma; rcc; breast
ARID1B,57492,6:156777374-157210779,TSG,3,1,breast,breast; hepatocellular carcinoma; clear cell ovarian carcinoma
ASXL1,171023,20:32358330-32439319,TSG,2,0,"",mds; cmml
ATF1,466,12:50764292-50821122,"oncogene, fusion",2,0,"",malignant melanoma of soft parts; angiomatoid fibrous histiocytoma
ATM,472,11:108222832-108369099,TSG,5,0,"",t-pll; leukaemia; lymphoma; medulloblastoma; glioma
ATR,545,3:142449237-142578826,TSG,5,0,"",endometrial; gastric; epithelial ovarian; myeloma; oropharyngeal
ATRX,546,X:77504878-77786269,TSG,2,0,"",pancreatic neuroendocrine tumours; paediatric gbm
AXIN1,8312,16:287440-352659,TSG,6,2,prostate; colorectal,colorectal; endometrial; prostate; hepatocellular carcinoma; hepatoblastoma; sporadic medulloblastoma
AXIN2,8313,17:65528563-65561647,TSG,3,1,colorectal,colorectal carcinoma; stomach carcinoma; hepatocellular carcinoma
B2M,567,15:44711477-44718877,TSG,3,0,"",dlbcl; melanoma; colorectal adenocarcinoma
BAP1,8314,3:52401013-52410350,TSG,7,1,breast,uveal melanoma; breast; nsclc; rcc; mesothelioma; skin and uveal melanoma; kidney cancer
BARD1,580,2:214725646-214809704,TSG,3,2,breast; ovarian,breast cancer; ovarian cancer; endometrioid cancer
BCL2,596,18:63123346-63320128,"oncogene, fusion",2,0,"",nhl; cll
BCL6,604,3:187721377-187745727,"oncogene, fusion",2,0,"",nhl; cll
BCL9L,283149,11:118893875-118910904,"oncogene, TSG",3,1,colorectal,colorectal cancer; endometrial carcinoma; gastric cancer
BCOR,54880,X:40051248-40097403,"TSG, fusion",3,0,"",retinoblastoma; aml; apl (translocation)
BCORL1,63035,X:130005188-130058083,"oncogene, TSG",2,0,"",aml; hnscc
BCR,613,22:23180210-23318037,fusion,3,0,"",cml; all; aml
BIRC3,330,11:102317495-102337734,"oncogene, TSG, fusion",4,0,"",cll; malt; mcl; mm
BLM,641,15:90717327-90816165,TSG,4,0,"",leukaemia; lymphoma; skin squamous cell; other tumour types
BRAF,673,7:140730665-140924928,"oncogene, fusion",12,2,prostate; colorectal,melanoma; colorectal; papillary thyroid; borderline ovarian; nsclc; cholangiocarcinoma; pilocytic astrocytoma; spitzoid tumour; pancreas acinar carcinoma; melanocytic nevus; prostate; gastric
BRCA1,672,17:43044295-43125483,TSG,2,2,breast; ovarian,ovarian; breast
BRCA2,675,13:32315474-32400266,TSG,5,2,breast; ovarian,breast; ovarian; pancreatic; leukaemia  (fancb; fancd1)
BRIP1,83990,17:61681266-61863521,TSG,3,1,breast,aml; leukaemia; breast
BTK,695,X:101349447-101390796,"oncogene, TSG",3,0,"",cll; mantle cell lymphoma; wm
CALR,811,19:12938607-12944489,oncogene,2,0,"",mpn; mds
CASP8,841,2:201258036-201287711,TSG,3,1,breast,hepatocellular; oral squamous cell; breast
CBL,867,11:119206276-119308149,"oncogene, TSG, fusion",3,0,"",aml; jmml; mds
CCDC6,8030,10:59788763-59906656,"TSG, fusion",3,0,"",papillary thyroid; cml; nsclc
CCND1,595,11:69641087-69654474,"oncogene, fusion",3,1,breast,cll; b-all; breast
CCND2,894,12:4273772-4305350,"oncogene, fusion",2,0,"",nhl; cll
CD274,29126,9:5450525-5470547,"TSG, fusion",2,0,"",pmbl; hodgkin lymphoma
CD79A,973,19:41877120-41881372,oncogene,2,0,"",dlbcl; wm
CD79B,974,17:63928740-63932336,oncogene,2,0,"",dlbcl; wm
CDC73,79577,1:193122017-193253901,TSG,2,0,"",parathyroid adenoma; multiple ossifying jaw fibroma
CDH1,999,16:68737225-68835548,TSG,2,0,"",lobular breast; gastric
CDKN1B,1027,12:12717124-12722371,TSG,4,1,breast,breast; small intestine neuroendocrine tumours; pituitary; parathyroid
CDKN2A,1029,9:21968056-21974866,TSG,3,0,"",melanoma; multiple other tumour types; pancreatic
CDKN2C,1031,1:50960745-50974633,TSG,2,0,"",glioma; mm
CEBPA,1050,19:33299934-33302564,TSG,2,0,"",aml; mds
CIC,23152,19:42284665-42295797,"oncogene, TSG, fusion",2,0,"",oligodendroglioma; soft tissue sarcoma
CIITA,4261,16:10877198-10924983,"TSG, fusion",2,0,"",pmbl; hodgkin lymphoma
CLTC,1213,17:59619689-59696956,"TSG, fusion",2,0,"",alcl; renal
CNTRL,11064,9:121075012-121177608,fusion,2,0,"",mpn; nhl
COL1A1,1277,17:50183289-50201632,fusion,2,0,"",dfsp; aneurysmal bone cyst
COL2A1,1280,12:47972965-48004486,fusion,2,0,"",chondrosarcoma; enchondroma
CREB1,1385,2:207529892-207603431,"oncogene, fusion",2,0,"",clear cell sarcoma; angiomatoid fibrous histiocytoma
CREBBP,1387,16:3725054-3880726,"oncogene, TSG, fusion",4,0,"",all; aml; dlbcl; b-nhl
CRLF2,64109,X:1190490-1212750,"oncogene, fusion",2,0,"",b-all; downs associated all
CSF3R,1441,1:36466043-36483278,oncogene,6,0,"",acml; cnl; leukaemia lymphoma and mds associated with severe congenital neutropenia; cmml; de novo aml; mds
CTCF,10664,16:67562467-67639176,TSG,3,1,breast,endometrial; breast; head and neck cancer
CTNNB1,1499,3:41220551-41239888,"oncogene, fusion",5,2,colorectal; ovarian,colorectal; ovarian; hepatoblastoma; pleomorphic salivary gland adenoma; other tumour types
CUX1,1523,7:101816011-102258233,"oncogene, TSG",6,1,colorectal,endometrial; melanoma; colorectal; aml; mds; other tumour types
DAXX,1616,6:33318558-33323014,"oncogene, TSG",2,0,"",pancreatic neuroendocrine tumour; paediatric glioblastoma
DCTN1,1639,2:74361154-74380355,fusion,2,0,"",inflammatory myofibroblastic tumour; spitzoid tumour
DDB2,1643,11:47214942-47239240,"oncogene, TSG",3,0,"",skin basal cell; skin squamous cell; melanoma
DDR2,4921,1:162632465-162787400,oncogene,2,0,"",squamous cell carcinoma; nsclc
DDX3X,1654,X:41333284-41351668,TSG,2,0,"",cll; medulloblastoma
DICER1,23405,14:95086228-95158010,TSG,8,0,"",sex cord-stromal tumour; tgct; embryonal rhabdomyosarcoma; pleuropulmonary blastoma; pituitary blastoma; wilms tumour; thyroid cancer; other tumour types
DROSHA,29102,5:31400497-31532061,TSG,3,0,"",wilms tumour; nsclc; bladder carcinoma
EGFR,1956,7:55019101-55211628,oncogene,2,0,"",glioma; nsclc
EP300,2033,22:41091786-41180079,"TSG, fusion",6,2,breast; colorectal,colorectal; breast; pancreatic; aml; all; dlbcl
EPAS1,2034,2:46297402-46386703,"oncogene, TSG",3,0,"",paraganglioma; pheochromocytoma; central nervous system hemangioblastomas
ERBB2,2064,17:39700080-39728662,"oncogene, fusion",5,2,breast; ovarian,breast; ovarian; other tumour types; nsclc; gastric
ERBB3,2065,12:56079861-56103505,oncogene,5,1,colorectal,colon; gastric; head and neck; bladder; skin
ERBB4,2066,2:211375717-212538841,"oncogene, TSG",3,0,"",melanoma; gastric; nsclc
ERC1,23085,12:1027747-1495924,fusion,2,0,"",papillary thyroid; spitzoid tumour
ERCC2,2068,19:45349837-45370587,TSG,3,0,"",skin basal cell; skin squamous cell; melanoma
ERCC3,2071,2:127257290-127294176,TSG,3,0,"",skin basal cell; skin squamous cell; melanoma
ERCC4,2072,16:13920157-13952345,TSG,3,0,"",skin basal cell; skin squamous cell; melanoma
ERCC5,2073,13:102844844-102876001,TSG,3,0,"",skin basal cell; skin squamous cell; melanoma
ERG,2078,21:38380027-38661694,"oncogene, fusion",3,1,prostate,ewing sarcoma; prostate; aml
ETNK1,55500,12:22625075-22690665,TSG,4,0,"",acml; cmml; sm-ahd; hes
ETV1,2115,7:13891228-13989946,"oncogene, fusion",2,1,prostate,ewing sarcoma; prostate
ETV4,2118,17:43527844-43546432,"oncogene, fusion",2,1,prostate,ewing sarcoma; prostate carcinoma
ETV6,2120,12:11649854-11895402,"TSG, fusion",4,0,"",congenital fibrosarcoma; multiple different leukaemia and lymphoma tumour types including all; secretory breast; mds
EWSR1,2130,22:29268316-29300343,"oncogene, fusion",7,0,"",ewing sarcoma; desmoplastic small round cell tumour; all; clear cell sarcoma; sarcoma; myoepithelioma; mesothelioma
