source,target,combined_score_scaled
3,17,0.885
13,22,0.901
15,50,0.752
55,57,0.999
58,60,0.993
3,63,0.881
15,65,0.823
6,69,0.998
47,81,0.877
3,84,0.898
43,86,0.853
3,93,0.833
17,93,0.766
63,93,0.727
95,97,0.93
99,100,0.931
78,103,0.742
78,104,0.777
103,104,0.8
78,105,0.75
102,105,0.895
103,105,0.929
104,105,0.73
78,106,0.718
102,106,0.999
105,106,0.93
102,107,0.823
103,107,0.764
105,107,0.886
106,107,0.725
102,108,0.849
106,108,0.762
102,109,0.999
106,109,0.999
103,110,0.747
105,110,0.831
3,114,0.82
17,114,0.735
63,114,0.762
93,114,0.799
47,122,0.735
84,122,0.98
38,124,0.714
38,127,0.729
124,127,0.871
24,130,0.907
65,130,0.827
55,137,0.714
2,139,0.909
75,141,0.77
117,141,0.805
117,147,0.707
141,147,0.866
75,149,0.722
117,149,0.798
141,149,0.981
147,149,0.845
160,161,0.999
63,166,0.76
114,166,0.758
43,170,0.785
86,170,0.727
3,177,0.745
93,177,0.726
114,177,0.725
166,177,0.726
128,178,0.737
97,181,0.79
183,184,0.929
3,185,0.843
17,185,0.753
93,185,0.782
114,185,0.827
177,185,0.74
3,200,0.958
17,200,0.801
63,200,0.705
93,200,0.724
114,200,0.715
185,200,0.718
13,202,0.747
132,202,0.745
202,203,0.999
13,204,0.781
132,204,0.827
202,204,0.999
203,204,0.999
13,205,0.716
132,205,0.882
202,205,0.999
203,205,0.999
204,205,0.999
13,206,0.839
132,206,0.741
202,206,0.999
203,206,0.999
204,206,0.999
205,206,0.999
13,207,0.847
132,207,0.777
202,207,0.999
203,207,0.999
204,207,0.999
205,207,0.999
206,207,0.999
3,215,0.756
93,215,0.737
114,215,0.749
166,215,0.893
177,215,0.797
185,215,0.745
141,218,0.731
13,223,0.815
132,223,0.856
202,223,0.999
203,223,0.999
204,223,0.999
205,223,0.999
206,223,0.999
207,223,0.999
68,226,0.831
129,226,0.815
17,231,0.728
166,231,0.757
177,231,0.751
200,231,0.759
215,231,0.746
232,233,0.992
3,240,0.819
93,240,0.841
114,240,0.835
177,240,0.742
185,240,0.834
200,240,0.784
215,240,0.751
231,240,0.719
220,242,0.766
18,243,0.945
165,244,0.862
139,245,0.904
155,247,0.861
15,250,0.909
34,252,0.914
99,252,0.874
3,256,0.708
17,256,0.705
84,256,0.84
122,256,0.949
182,256,0.713
200,256,0.701
240,256,0.707
13,258,0.996
22,258,0.9
34,261,0.903
89,261,0.765
161,261,0.718
238,261,0.764
236,262,0.827
3,266,0.75
93,266,0.782
114,266,0.74
177,266,0.749
185,266,0.767
215,266,0.752
240,266,0.739
13,270,0.999
22,270,0.9
202,270,0.943
203,270,0.921
204,270,0.946
205,270,0.937
206,270,0.953
207,270,0.988
223,270,0.957
258,270,0.999
76,272,0.926
261,275,0.729
87,277,0.9
210,277,0.902
277,284,0.938
190,288,0.819
283,288,0.709
285,288,0.865
277,289,0.998
284,289,0.78
169,300,0.904
259,302,0.977
279,302,0.996
208,303,0.973
220,303,0.733
277,304,0.928
284,304,0.787
289,304,0.71
283,305,0.744
252,309,0.847
122,311,0.851
149,313,0.786
277,314,0.998
289,314,0.999
7,315,0.715
288,317,0.994
300,318,0.958
306,321,0.702
3,324,0.944
63,324,0.809
256,324,0.929
6,325,0.938
69,325,0.824
277,325,0.992
289,325,0.739
314,325,0.746
236,336,0.914
288,337,0.851
228,339,0.71
247,339,0.763
153,340,0.752
296,340,0.777
6,341,0.999
69,341,0.997
243,343,0.988
330,346,0.828
76,347,0.999
171,347,0.923
302,350,0.901
261,352,0.847
325,352,0.99
341,352,0.823
159,353,0.839
190,353,0.811
285,353,0.886
288,353,0.993
355,356,0.767
137,357,0.786
4,360,0.95
34,360,0.775
60,360,0.726
277,360,0.999
284,360,0.94
289,360,0.999
300,360,0.828
304,360,0.885
314,360,0.999
341,360,0.776
186,363,0.748
353,363,0.83
308,365,0.999
308,366,0.999
365,366,0.963
308,367,0.999
365,367,0.991
366,367,0.964
4,369,0.96
60,369,0.748
277,369,0.999
284,369,0.909
289,369,0.999
304,369,0.941
314,369,0.999
325,369,0.853
339,369,0.908
360,369,0.982
250,370,0.702
326,371,0.874
96,372,0.999
326,372,0.8
277,375,0.9
259,377,0.842
279,377,0.975
302,377,0.978
338,377,0.786
37,380,0.71
39,380,0.73
195,381,0.762
34,384,0.831
112,384,0.92
304,384,0.73
129,385,0.752
384,387,0.92
184,390,0.724
277,390,0.999
284,390,0.876
289,390,0.994
314,390,0.995
325,390,0.706
360,390,0.735
369,390,0.946
332,393,0.945
159,394,0.824
288,394,0.814
353,394,0.833
363,394,0.994
288,395,0.974
353,395,0.821
363,396,0.764
159,397,0.935
190,397,0.819
353,397,0.817
363,397,0.998
394,397,0.858
149,400,0.786
313,400,0.924
155,401,0.835
181,401,0.915
207,401,0.766
231,401,0.747
277,401,0.993
289,401,0.999
304,401,0.742
314,401,0.999
360,401,0.966
369,401,0.93
372,401,0.717
390,401,0.86
159,403,0.905
353,403,0.914
363,403,0.999
394,403,0.993
396,403,0.75
397,403,0.873
111,407,0.952
3,408,0.727
231,408,0.711
2,411,0.952
277,412,0.799
289,412,0.999
314,412,0.999
360,412,0.89
369,412,0.859
390,412,0.835
401,412,0.951
261,416,0.724
277,417,0.928
284,417,0.757
289,418,0.999
314,418,0.999
360,418,0.902
369,418,0.956
390,418,0.858
401,418,0.815
412,418,0.751
265,420,0.977
243,425,0.922
277,427,0.847
289,427,0.999
314,427,0.999
360,427,0.854
369,427,0.925
390,427,0.878
401,427,0.81
96,428,0.792
372,428,0.737
0,429,0.941
57,431,0.723
278,434,0.737
226,437,0.835
277,437,0.999
284,437,0.741
289,437,0.835
314,437,0.901
360,437,0.946
369,437,0.781
390,437,0.748
401,437,0.842
412,437,0.722
247,443,0.979
339,443,0.787
454,455,0.871
456,457,0.932
35,460,0.72
35,461,0.72
460,461,0.756
304,463,0.743
34,464,0.81
290,464,0.82
411,465,0.819
300,466,0.744
464,468,0.999
464,469,0.977
468,469,0.703
464,470,0.996
469,470,0.883
155,474,0.789
443,474,0.933
372,475,0.715
466,475,0.999
269,476,0.943
438,478,0.829
277,480,0.783
478,485,0.96
75,486,0.799
117,486,0.807
141,486,0.994
147,486,0.933
149,486,0.993
252,486,0.815
313,486,0.984
400,486,0.82
2,487,0.833
292,487,0.745
473,487,0.862
269,489,0.93
476,489,0.976
160,490,0.788
439,491,0.954
129,492,0.867
226,492,0.896
437,492,0.867
266,494,0.706
439,496,0.728
465,496,0.888
75,498,0.779
117,498,0.905
141,498,0.937
147,498,0.896
259,498,0.745
311,499,0.733
289,502,0.933
299,502,0.908
384,502,0.727
184,503,0.882
476,505,0.793
488,505,0.988
250,508,0.716
57,509,0.943
227,509,0.983
281,509,0.704
393,509,0.956
444,509,0.703
288,513,0.795
337,513,0.815
269,514,0.935
279,516,0.998
302,516,0.995
377,516,0.959
279,518,0.781
283,518,0.904
302,518,0.766
305,518,0.996
516,518,0.796
76,521,0.999
171,521,0.939
347,521,0.823
229,523,0.92
159,528,0.95
353,528,0.835
363,528,0.915
394,528,0.831
397,528,0.996
403,528,0.911
61,530,0.999
76,530,0.965
220,530,0.728
244,530,0.811
347,530,0.809
521,530,0.947
479,531,0.824
526,532,0.987
13,535,0.984
206,535,0.751
207,535,0.844
258,535,0.97
270,535,0.999
298,535,0.841
68,538,0.701
226,538,0.787
492,538,0.754
100,543,0.936
363,543,0.851
403,543,0.885
393,544,0.728
510,545,0.871
326,546,0.991
76,547,0.989
171,547,0.954
347,547,0.931
521,547,0.999
530,547,0.958
141,551,0.798
149,551,0.721
486,551,0.701
498,551,0.72
154,554,0.729
486,557,0.733
335,558,0.791
313,559,0.954
318,559,0.808
486,559,0.979
19,561,0.726
100,561,0.91
288,561,0.999
309,561,0.974
317,561,0.828
353,561,0.997
227,562,0.816
509,562,0.999
57,563,0.935
227,563,0.924
393,563,0.816
509,563,0.999
562,563,0.949
206,565,0.861
564,565,0.836
4,566,0.703
332,568,0.999
393,568,0.979
252,571,0.713
288,571,0.715
337,571,0.956
486,571,0.791
513,571,0.722
299,574,0.795
502,574,0.771
169,575,0.868
574,575,0.994
2,576,0.887
288,576,0.751
277,577,0.992
289,577,0.991
327,577,0.949
341,577,0.724
360,577,0.956
260,581,0.892
327,583,0.713
341,583,0.786
412,583,0.825
577,583,0.99
229,585,0.937
523,585,0.92
259,586,0.844
377,586,0.832
189,589,0.819
277,590,0.858
289,590,0.855
390,590,0.781
577,591,0.701
583,591,0.994
22,592,0.791
283,594,0.736
363,594,0.835
396,594,0.821
403,594,0.818
524,595,0.942
577,595,0.745
241,596,0.943
504,597,0.733
259,599,0.933
279,599,0.993
302,599,0.999
350,599,0.727
377,599,0.967
498,599,0.755
516,599,0.996
518,599,0.939
586,599,0.737
577,601,0.893
411,605,0.754
307,606,0.71
318,607,0.726
117,611,0.843
577,614,0.733
583,614,0.971
232,615,0.998
233,615,0.999
432,617,0.999
602,618,0.771
241,620,0.976
132,623,0.882
202,623,0.999
203,623,0.999
204,623,0.999
205,623,0.985
206,623,0.999
207,623,0.999
223,623,0.999
270,623,0.927
488,625,0.969
368,626,0.801
488,626,0.963
625,626,0.911
302,627,0.942
350,627,0.999
599,627,0.796
302,628,0.937
350,628,0.997
486,628,0.7
498,628,0.754
516,628,0.873
599,628,0.985
627,628,0.999
64,630,0.76
246,631,0.879
219,632,0.749
448,633,0.854
465,633,0.855
496,633,0.844
256,634,0.826
446,635,0.719
636,637,0.83
621,639,0.785
288,641,0.812
353,641,0.882
394,641,0.712
397,641,0.872
528,641,0.861
342,644,0.834
290,645,0.75
318,645,0.746
339,645,0.737
384,645,0.711
464,645,0.841
468,645,0.709
470,645,0.739
486,645,0.792
549,645,0.956
599,645,0.728
604,645,0.809
318,646,0.793
339,646,0.744
405,646,0.713
464,646,0.798
470,646,0.751
486,646,0.768
549,646,0.98
559,646,0.827
599,646,0.701
613,646,0.708
645,646,0.999
290,647,0.716
318,647,0.792
339,647,0.803
464,647,0.87
468,647,0.7
470,647,0.757
486,647,0.796
549,647,0.956
559,647,0.719
571,647,0.712
599,647,0.821
645,647,0.999
646,647,0.999
399,649,0.703
90,651,0.823
226,651,0.913
437,651,0.824
492,651,0.917
280,652,0.845
282,652,0.937
316,652,0.986
465,653,0.766
496,653,0.805
436,655,0.862
145,658,0.906
90,660,0.765
606,660,0.718
651,660,0.994
129,662,0.999
492,662,0.899
7,663,0.727
159,663,0.999
184,663,0.99
315,663,0.789
353,663,0.948
363,663,0.999
394,663,0.997
397,663,0.999
403,663,0.999
503,663,0.982
528,663,0.988
543,663,0.983
641,663,0.999
25,665,0.909
198,666,0.728
242,666,0.877
384,666,0.716
359,667,0.722
492,668,0.903
651,668,0.999
660,668,0.993
571,672,0.987
259,674,0.884
279,674,0.997
302,674,0.999
377,674,0.99
516,674,0.995
518,674,0.755
586,674,0.909
599,674,0.999
628,674,0.878
352,681,0.999
68,682,0.813
226,682,0.925
492,682,0.887
651,682,0.825
531,683,0.721
137,684,0.975
318,684,0.705
357,684,0.999
153,685,0.82
332,685,0.922
544,685,0.81
129,686,0.899
226,686,0.967
437,686,0.808
492,686,0.979
538,686,0.795
615,686,0.758
651,686,0.993
660,686,0.901
662,686,0.861
668,686,0.913
682,686,0.811
688,689,0.999
688,690,0.999
689,690,0.999
478,693,0.945
485,693,0.961
552,695,0.999
68,696,0.764
129,696,0.8
226,696,0.96
437,696,0.725
492,696,0.987
538,696,0.705
651,696,0.965
660,696,0.812
662,696,0.764
682,696,0.905
686,696,0.999
554,699,0.999
700,701,0.924
226,702,0.783
662,702,0.779
432,706,0.989
617,706,0.947
239,707,0.761
252,707,0.864
571,707,0.987
226,708,0.714
707,708,0.984
401,709,0.734
412,709,0.773
707,709,0.829
708,709,0.851
711,712,0.781
61,714,0.708
530,714,0.787
332,715,0.984
393,715,0.998
544,715,0.708
568,715,0.999
337,720,0.868
353,720,0.788
571,720,0.799
592,720,0.774
719,720,0.85
257,721,0.923
583,721,0.722
591,721,0.908
591,722,0.893
1,723,0.921
562,725,0.741
446,726,0.802
635,726,0.906
16,727,0.782
385,727,0.864
401,727,0.794
329,728,0.715
162,729,0.997
452,729,0.805
432,730,0.999
617,730,0.999
706,730,0.999
232,731,0.993
233,731,0.999
615,731,0.999
268,732,0.858
398,732,0.769
533,732,0.753
96,733,0.936
372,733,0.742
635,733,0.833
206,735,0.883
439,736,0.926
491,736,0.942
325,738,0.9
398,738,0.944
732,738,0.805
47,741,0.725
81,741,0.752
122,741,0.894
325,743,0.8
737,743,0.741
439,744,0.93
491,744,0.942
736,744,0.936
307,745,0.764
645,747,0.998
646,747,0.999
647,747,0.999
318,748,0.796
339,748,0.784
464,748,0.719
470,748,0.717
486,748,0.753
549,748,0.978
559,748,0.809
645,748,0.999
646,748,0.999
647,748,0.999
747,748,0.996
497,751,0.958
743,752,0.967
169,753,0.718
363,754,0.855
403,754,0.916
503,754,0.803
543,754,0.762
663,754,0.994
536,755,0.998
629,756,0.773
153,758,0.854
340,758,0.929
148,760,0.834
206,760,0.75
207,760,0.963
223,760,0.749
409,760,0.755
564,760,0.938
565,760,0.978
194,761,0.756
667,761,0.748
723,761,0.776
454,763,0.739
405,765,0.714
645,765,0.711
647,765,0.704
651,765,0.812
686,765,0.837
696,765,0.832
34,766,0.849
242,766,0.841
384,766,0.893
549,766,0.715
645,766,0.946
646,766,0.945
647,766,0.958
666,766,0.994
747,766,0.918
748,766,0.946
765,766,0.863
613,767,0.759
148,768,0.84
207,768,0.936
409,768,0.755
564,768,0.71
760,768,0.972
165,769,0.71
521,769,0.731
129,770,0.762
226,770,0.723
437,770,0.732
492,770,0.712
686,770,0.866
702,770,0.762
743,770,0.832
385,771,0.962
473,771,0.855
129,772,0.772
385,772,0.996
727,772,0.983
771,772,0.958
480,777,0.861
654,780,0.965
398,786,0.999
595,788,0.829
561,789,0.808
304,790,0.896
320,790,0.836
468,790,0.771
757,790,0.746
554,791,0.756
486,793,0.931
58,794,0.763
380,794,0.739
531,796,0.808
593,796,0.892
720,797,0.707
350,799,0.998
627,799,0.999
628,799,0.999
800,801,0.89
261,802,0.978
13,806,0.999
22,806,0.9
202,806,0.779
204,806,0.802
205,806,0.714
207,806,0.818
223,806,0.826
258,806,0.999
270,806,0.999
535,806,0.954
332,808,0.71
715,808,0.786
261,809,0.738
261,810,0.734
261,811,0.747
145,812,0.914
658,812,0.98
350,816,0.997
627,816,0.999
628,816,0.999
799,816,0.999
4,817,0.716
497,817,0.92
738,817,0.714
751,817,0.715
34,818,0.848
244,818,0.808
384,818,0.97
666,818,0.867
57,821,0.918
227,821,0.945
393,821,0.914
444,821,0.747
509,821,0.966
562,821,0.999
563,821,0.999
446,822,0.784
635,822,0.793
130,823,0.929
112,826,0.745
405,826,0.793
666,826,0.728
13,829,0.997
202,829,0.722
204,829,0.771
206,829,0.703
207,829,0.731
223,829,0.739
258,829,0.995
270,829,0.965
535,829,0.913
806,829,0.999
259,831,0.856
279,831,0.994
302,831,0.999
377,831,0.926
516,831,0.994
518,831,0.747
599,831,0.998
628,831,0.703
674,831,0.997
332,832,0.748
332,833,0.76
573,833,0.752
832,833,0.953
355,835,0.758
356,835,0.802
828,836,0.961
391,838,0.888
812,839,0.955
145,840,0.903
658,840,0.99
812,840,0.99
839,840,0.939
508,842,0.999
769,843,0.963
751,844,0.768
817,844,0.729
252,845,0.773
510,845,0.97
545,845,0.995
595,845,0.984
446,848,0.753
635,848,0.913
726,848,0.82
822,848,0.912
261,850,0.864
510,850,0.969
524,850,0.977
545,850,0.997
549,850,0.977
595,850,0.999
599,850,0.847
645,850,0.802
646,850,0.746
647,850,0.716
663,850,0.724
748,850,0.776
766,850,0.815
845,850,0.999
631,852,0.828
96,853,0.914
399,853,0.793
359,856,0.815
667,856,0.963
183,857,0.715
728,860,0.739
243,861,0.871
343,861,0.912
399,861,0.9
853,861,0.945
423,863,0.999
865,866,0.752
634,868,0.754
615,869,0.748
615,870,0.748
342,872,0.978
644,872,0.965
815,872,0.832
259,873,0.915
279,873,0.998
302,873,0.999
377,873,0.989
516,873,0.995
518,873,0.761
586,873,0.878
599,873,0.999
628,873,0.858
674,873,0.999
831,873,0.997
243,877,0.809
361,877,0.721
705,877,0.84
165,878,0.734
239,878,0.719
566,878,0.94
575,878,0.738
577,878,0.859
583,878,0.953
663,878,0.816
683,879,0.798
84,881,0.707
697,881,0.875
639,882,0.776
561,883,0.832
497,884,0.931
738,884,0.701
751,884,0.91
844,884,0.756
875,884,0.766
876,884,0.714
278,886,0.949
524,887,0.915
595,887,0.998
788,887,0.786
845,887,0.826
850,887,0.997
184,891,0.842
190,891,0.994
288,891,0.828
353,891,0.805
363,891,0.993
394,891,0.944
403,891,0.989
503,891,0.997
543,891,0.948
663,891,0.999
754,891,0.986
53,892,0.732
269,892,0.911
514,892,0.928
296,893,0.703
479,893,0.973
176,895,0.864
360,895,0.729
641,897,0.826
883,897,0.95
190,898,0.831
285,898,0.834
288,898,0.836
353,898,0.984
363,898,0.995
397,898,0.903
403,898,0.992
663,898,0.98
797,898,0.742
891,898,0.803
247,901,0.701
261,901,0.83
583,901,0.734
595,901,0.891
791,901,0.746
288,903,0.995
353,903,0.999
395,903,0.999
561,903,0.998
797,903,0.707
277,907,0.898
315,908,0.751
524,912,0.743
595,912,0.999
850,912,0.996
887,912,0.998
657,913,0.848
459,916,0.75
843,916,0.873
302,917,0.909
350,917,0.996
599,917,0.809
627,917,0.999
628,917,0.993
799,917,0.999
816,917,0.992
524,919,0.859
595,919,0.958
850,919,0.927
887,919,0.905
912,919,0.939
905,920,0.778
