entrez_id,node_idx,degree,gene_symbol,zstat_brca,p_brca,zstat_coca,p_coca,zstat_luca,p_luca,zstat_ovca,p_ovca,zstat_prca,p_prca
1,0,9,A1BG,0.72697,0.23362,1.8471,0.032363,1.4307,0.076263,-0.47771,0.68357,0.19436,0.42295
10,1,14,NAT2,-0.56267,0.71317,-1.3,0.9032,0.14855,0.44095,3.3563,0.00039494,1.2773,0.10074
100,2,35,ADA,-0.22241,0.588,0.68801,0.24572,-1.2605,0.89625,-0.83872,0.79919,-0.9647,0.83265
1000,3,93,CDH2,1.3189,0.093608,0.50085,0.30824,2.028,0.02128,0.43317,0.33244,0.25518,0.39929
10000,4,96,AKT3,0.2585,0.39801,0.31022,0.3782,1.2833,0.0997,0.86566,0.19334,2.0318,0.021085
100008586,5,55,GAGE12F,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
10001,6,104,MED6,1.8686,0.030839,-0.24065,0.59509,1.173,0.12039,-1.3195,0.9065,4.2471,1.0829e-05
10002,7,28,NR2E3,2.5905,0.0047918,4.6984,1.3108e-06,0.12505,0.45024,-0.43241,0.66728,0.83912,0.2007
10003,8,2,NAALAD2,1.0334,0.15071,-0.37668,0.64679,0.12776,0.44917,0.78901,0.21505,1.2395,0.10758
100033411,9,4,DUXB,-0.80092,0.78841,0.096541,0.46155,-1.2284,0.89036,-0.87695,0.80974,-1.4559,0.92729
10004,10,9,NAALADL1,-0.71633,0.76311,1.7464,0.04037,-0.52145,0.69897,-0.45186,0.67432,1.3219,0.093108
100049587,11,2,SIGLEC14,-1.4773,0.93021,-0.94244,0.82702,-1.2192,0.88862,0.31589,0.37604,1.1798,0.11903
10005,12,15,ACOT8,1.9771,0.024013,1.7992,0.035994,1.2307,0.10922,-1.0688,0.85741,4.086,2.1947e-05
10006,13,43,ABI1,1.7062,0.043988,-0.56669,0.71454,2.5731,0.0050397,-0.6461,0.74089,1.0215,0.15352
10007,14,14,GNPDA1,-0.34929,0.63657,1.5811,0.056928,-1.7096,0.95633,0.91411,0.18033,0.048599,0.48062
10008,15,33,KCNE3,0.25789,0.39825,3.8559,5.7648e-05,-0.02242,0.50894,-0.48741,0.68702,1.2708,0.1019
10009,16,8,ZBTB33,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
1001,17,22,CDH3,0.61202,0.27026,5.568,1.2887e-08,0.32423,0.37288,-0.96932,0.83381,4.7427,1.0547e-06
10010,18,36,TANK,0.15157,0.43976,-0.44341,0.67127,0.44652,0.32761,1.4867,0.068542,0.6396,0.26122
100101267,19,26,POM121C,0.23197,0.40828,1.1005,0.13556,0.52637,0.29931,-0.19755,0.5783,2.6028,0.0046235
100101467,20,5,ZSCAN30,0.051081,0.47963,2.4111,0.0079522,-0.017103,0.50682,2.1792,0.01466,0.28794,0.3867
100101490,21,3,MCTS2P,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
10011,22,14,SRA1,0.56728,0.28526,1.1672,0.12156,0.14436,0.44261,0.61279,0.27001,0.5684,0.28488
100125288,23,1,ZGLP1,1.3278,0.092119,3.5669,0.0001806,0.77584,0.21892,-0.38563,0.65011,2.3903,0.0084172
100126572,24,6,GJE1,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
100128327,25,17,TRAPPC3L,-0.48271,0.68535,1.1528,0.1245,0.18892,0.42508,0.47837,0.31619,4.1791,1.4635e-05
100128569,26,5,C19orf71,-0.59281,0.72335,0.66236,0.25387,0.32493,0.37262,-0.91102,0.81886,2.0068,0.022386
100128731,27,19,OST4,2.4636,0.0068774,0.78873,0.21513,-1.7009,0.95551,0.44858,0.32687,0.39117,0.34784
100129128,28,3,KHDC1L,-0.42456,0.66442,1.6271,0.051856,-0.83843,0.7991,0.27953,0.38992,0.7363,0.23077
100129250,29,1,SMIM27,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
100129271,30,4,C1orf68,-1.5017,0.93341,-0.32241,0.62643,-0.091159,0.53632,-0.3068,0.6205,-0.33571,0.63145
100129278,31,3,TDRD15,0.27178,0.3929,-0.59577,0.72434,-0.08054,0.5321,-0.18095,0.5718,0.51838,0.3021
100129515,32,3,ETDB,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
100129669,33,4,IZUMO3,1.8173,0.034583,0.50114,0.30814,-1.3316,0.90851,-1.018,0.84567,0.56918,0.28462
10013,34,101,HDAC6,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
100130348,35,32,TMEM262,0.24955,0.40147,3.0794,0.0010372,-0.26748,0.60545,-0.784,0.78348,1.4886,0.068301
100130733,36,4,LRRC70,0.67817,0.24883,-0.041727,0.51664,-1.5565,0.9402,-0.36639,0.64296,1.3425,0.08972
100130890,37,22,TSTD3,-2.3672,0.99104,-0.85268,0.80308,-0.011266,0.50449,1.1313,0.12896,1.693,0.045224
100130933,38,3,SMIM6,2.0481,0.020277,0.862,0.19434,-0.68643,0.75378,-0.33709,0.63198,0.60503,0.27258
100131187,39,23,TSTD1,-0.48978,0.68786,0.8995,0.18419,0.80455,0.21054,0.82129,0.20574,1.4412,0.074767
100131390,40,2,SP9,-1.0739,0.85857,0.17003,0.4325,0.051202,0.47958,0.41903,0.3376,1.7149,0.043179
100131439,41,4,CD300LD,0.068148,0.47283,-1.7386,0.95894,-0.605,0.72741,-1.6637,0.95191,0.38573,0.34985
100131755,42,1,ARMCX4,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
100131801,43,7,PET100,0.32232,0.3736,0.12508,0.45023,2.7338,0.0031301,0.055653,0.47781,0.52364,0.30026
100131902,44,4,KRTAP25-1,0.74202,0.22904,-0.58143,0.71952,0.46922,0.31945,1.5623,0.059109,0.59694,0.27527
100132074,45,5,FOXO6,1.573,0.057864,-0.48532,0.68627,0.25556,0.39914,-0.23692,0.59364,-1.1241,0.86952
100132399,46,50,GAGE12D,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
100132463,47,9,CLDN24,0.77932,0.2179,-0.6732,0.74959,0.33762,0.36782,0.54286,0.29361,1.03,0.15151
100132476,48,21,KRTAP4-7,-0.072171,0.52877,1.3361,0.090757,-0.26203,0.60335,0.4523,0.32553,0.34951,0.36335
100133941,49,36,CD24,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
100134444,50,13,KCNJ18,0.585568,0.361344,0.714181,0.342571,0.396488,0.406508,0.274841,0.43436,1.14135,0.290397
100134934,51,14,TEN1,-0.51023,0.69505,0.24662,0.4026,-1.377,0.91574,0.0072684,0.4971,-0.31303,0.62287
100134938,52,5,UPK3BL1,0.585568,0.361344,1.1096,0.13358,0.45826,0.32338,0.274841,0.43436,0.34027,0.36682
100137049,53,23,PLA2G4B,-0.10997,0.54378,2.1275,0.01669,1.2964,0.097416,-0.42306,0.66387,3.1854,0.00072267
10014,54,69,HDAC5,-0.49478,0.68962,0.83651,0.20143,0.62975,0.26443,-1.6377,0.94926,1.7786,0.037657
10015,55,38,PDCD6IP,2.6443,0.0040927,0.71044,0.23872,-1.5233,0.93616,0.64656,0.25896,0.13133,0.44776
