GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
105378580    1     793398     815130     15       9  185616      0.90859      0.18178
148398       1     915741     954581     58      18  185616       1.9859     0.023524
26155        1     934203     969299     42      18  185616       1.4912     0.067961
339451       1     949952     975720     35      17  185616      0.92318      0.17796
84069        1     956497     985108     34      17  185616      0.72053       0.2356
84808        1     965199     992117     36       8  185616       1.9025     0.028554
57801        1     988962    1011285     43       6  185616       1.9901     0.023292
9636         1    1003467    1024540     39      11  185616       1.7431     0.040661
375790       1    1010101    1066119     83      20  185616       1.6341     0.051121
105369174    1    1051207    1076390     35      11  185616       1.0116      0.15586
105378948    1    1055635    1079326     26       9  185616      0.89123       0.1864
401934       1    1061746    1084307     23      11  185616     -0.37654      0.64674
54991        1    1071818    1126356    137      11  185616       1.5166     0.064679
254173       1    1163898    1207935     53      28  185616      0.79774      0.21251
8784         1    1193508    1216709     19      12  185616      -0.2571      0.60145
7293         1    1201326    1224638     23      14  185616       1.5374     0.062097
51150        1    1206908    1242067     34      16  185616       1.8405     0.032844
126792       1    1222249    1245041     22      10  185616       1.6993     0.044627
388581       1    1232446    1257218     19      11  185616      0.36134      0.35892
118424       1    1243912    1283854     33      18  185616     -0.67569      0.75038
6339         1    1270415    1302029     43      21  185616       1.1876       0.1175
116983       1    1282384    1317925     54      20  185616       1.1902      0.11698
126789       1    1298571    1321677     22       9  185616      0.62629      0.26556
54973        1    1301585    1334687     40      19  185616       1.1054       0.1345
80772        1    1314756    1338896     31      18  185616      0.88936       0.1869
83756        1    1318999    1345320     32      17  185616       1.2577      0.10425
1855         1    1325278    1359158     39      21  185616       2.1194     0.017029
54587        1    1342689    1373541     60       5  185616       1.1661      0.12179
54998        1    1363730    1385438     52       3  185616      0.86857      0.19254
81669        1    1375711    1409338     34       9  185616       1.6497     0.049505
55052        1    1391896    1417834     31       9  185616       2.1883     0.014324
441869       1    1408420    1431820     40      11  185616       2.1109      0.01739
643965       1    1416128    1437787     41      12  185616        2.035     0.020927
64856        1    1425523    1452882     56      10  185616       1.8961     0.028973
219293       1    1431301    1480158    121      20  185616      0.95843      0.16892
83858        1    1461732    1519479    126      25  185616      0.64016      0.26103
55210        1    1502143    1544687    102      17  185616       1.0903      0.13779
339453       1    1524778    1550360     69      14  185616       1.1551      0.12402
29101        1    1531673    1584882    147      18  185616      0.44392      0.32855
643988       1    1588008    1610096     14       7  185616      -1.2456      0.89355
142678       1    1604975    1640610     15       6  185616     -0.24431      0.59651
8510         1    1622181    1644654      9       4  185616     -0.25185      0.59942
984          1    1625226    1669839     26       9  185616      0.16741      0.43352
728661       1    1650025    1702804     61      14  185616     -0.38741      0.65077
728642       1    1692730    1734352     91       9  185616      0.47937      0.31584
9906         1    1714838    1755999    116      14  185616      0.76162      0.22314
65220        1    1741232    1790514     94      15  185616       1.7621     0.039025
2782         1    1775285    1901117    212      32  185616       1.6192     0.052698
105378949    1    1875960    1903010     55      15  185616       1.2387      0.10772
163688       1    1903752    1927294     79      10  185616       1.6652     0.047932
339456       1    1907589    1929301     79      10  185616        1.656     0.048856
85452        1    1911951    2013837    362      30  185616       1.1155      0.13231
2563         1    2009329    2040753     32      19  185616        1.211      0.11295
5590         1    2040470    2195395    187      62  185616      0.35206       0.3624
100506504    1    2171811    2194360     20      15  185616     -0.36004      0.64059
199990       1    2174460    2222720     41      27  185616      -1.6371      0.94919
105378592    1    2198942    2225211     24      15  185616      -1.8957        0.971
6497         1    2218695    2320213    122      52  185616       2.1221     0.016913
105378594    1    2270383    2294676     26      20  185616      0.16936      0.43276
79906        1    2311253    2401751    319      44  185616      0.35627      0.36082
11079        1    2381314    2415444     92      26  185616     -0.45325      0.67481
5192         1    2394802    2423780     85      25  185616     -0.32865      0.62879
9651         1    2405782    2515530    384      64  185616      0.38126       0.3515
55229        1    2498531    2536628    122      19  185616       1.2222      0.11082
388585       1    2518745    2540245     65      19  185616       1.7488     0.040159
8764         1    2546365    2575622     88      13  185616       2.3843    0.0085566
127281       1    2576460    2601469     75       7  185616       1.8574      0.03163
79258        1    2580639    2643042    195      13  185616       2.0761     0.018944
100287898    1    2626988    2799665    109      21  185616       2.7559    0.0029263
140625       1    3011482    3032903     74      14  185616         1.57     0.058206
63976        1    3058227    3448621    524     113  185616       1.6606     0.048398
27237        1    3444583    3491115     25      18  185616     -0.84727      0.80158
1953         1    3477942    3634757    204      58  185616     -0.26485      0.60444
127262       1    3614992    3640131     67      12  185616      0.79827      0.21236
49856        1    3620767    3660107     80      19  185616      0.95591      0.16956
7161         1    3642565    3746201    259      44  185616     -0.19504      0.57732
148870       1    3742398    3781645    162      32  185616      0.18194      0.42782
388588       1    3762761    3785982    115      18  185616     -0.30436      0.61957
57470        1    3770220    3806504    183      27  185616     -0.69896      0.75771
9731         1    3802081    3867387    390      23  185616     -0.71355      0.76225
1677         1    3847143    3895429    284      32  185616      -1.4139       0.9213
339448       1    3879133    3910293    137      20  185616      -1.8091      0.96478
55966        1    4645045    4802534    786      98  185616      -1.5789      0.94282
261734       1    5852808    6002505    511      29  185616     -0.02345      0.50935
8514         1    5982298    6111193    404      73  185616    -0.064023      0.52552
26038        1    6091787    6190134    339      43  185616      -1.1405      0.87296
6146         1    6175020    6209619     80      15  185616      0.71999      0.23576
388591       1    6195775    6231299     87      17  185616       1.3002     0.096763
23463        1    6211193    6245984     81      16  185616       1.5408     0.061681
390992       1    6234158    6255578     48      10  185616       1.3874     0.082659
387509       1    6237346    6270990    101      16  185616        1.606     0.054139
11332        1    6254272    6403766    601      39  185616       1.4463     0.074046
54626        1    6405232    6434664    113      14  185616       1.5851     0.056466
83715        1    6414776    6470944    173      23  185616       2.3777    0.0087097
8718         1    6451151    6476195     67      17  185616       3.6731   0.00011981
57449        1    6456092    6530061    214      39  185616        3.058    0.0011141
79707        1    6511347    6564598    179       9  185616       1.0607      0.14441
80835        1    6545278    6589757    128      16  185616       1.4788     0.069599
3104         1    6569991    6599280     81      29  185616       2.7657    0.0028401
9903         1    6580724    6612898     79      24  185616       2.0521      0.02008
148479       1    6603696    6634033     65      17  185616       2.2252     0.013032
90326        1    6614865    6645586     90      22  185616       2.1258     0.016762
55735        1    6624168    6711906    244      35  185616       2.5276    0.0057427
23261        1    6775324    7779706   3076     244  185616     -0.88955      0.81315
9341         1    7761269    7791432     92      22  185616     -0.12562      0.54999
8863         1    7774380    7855181    316      32  185616        0.443      0.32888
10911        1    7837612    7923610    369      37  185616      0.38106      0.35158
3604         1    7905871    7953165    108      20  185616     0.099284      0.46046
11315        1    7951654    7995283     81      13  185616      0.48101      0.31525
54206        1    8001719    8036333     55       9  185616      0.54733      0.29207
50651        1    8308085    8354167    140      24  185616       1.3036     0.096186
473          1    8342404    8827691    858      45  185616      0.87447      0.19093
2023         1    8851000    8889092     82      16  185616      0.62226      0.26688
765          1    8935785    8985092    199      52  185616     -0.54933      0.70861
155184       1    8950853    9036384    328      71  185616        1.418     0.078095
6518         1    9026943    9081704    192      27  185616       1.0602      0.14452
80045        1    9093391    9139170    140      25  185616      0.57765      0.28175
9563         1    9224776    9281337    213      36  185616       1.0311      0.15124
80176        1    9282882    9379532    438      74  185616       4.4139   5.0765e-06
84275        1    9529469    9592773    120      19  185616      0.90979      0.18147
199953       1    9578853    9624877     76      14  185616       0.9059      0.18249
5293         1    9619889    9739114    293      46  185616      -1.0829      0.86058
22883        1    9719021    9834526    220      31  185616       0.0143       0.4943
56998        1    9838276    9920258    166      33  185616     -0.30696      0.62056
84328        1    9912110    9953402     92      16  185616       1.4112     0.079088
64802        1    9932923    9995501    134      22  185616       2.1836     0.014497
105376719    1    9986423   10008089     56      11  185616        2.795    0.0025952
116362       1    9987197   10026020     83      14  185616       2.7859    0.0026691
10277        1   10022983   10191239    430      35  185616       2.9598    0.0015393
23095        1   10200706   10391603    618      23  185616       2.3148     0.010312
5226         1   10388992   10430511    134      24  185616      0.63136       0.2639
378708       1   10420102   10452815    107      16  185616     -0.49547      0.68987
100526739    1   10420102   10462003    128      20  185616     -0.61539      0.73085
1325         1   10439719   10462003     52      14  185616      -1.2975      0.90277
1676         1   10450531   10482556     77      23  185616     -0.26476       0.6044
5195         1   10464946   10640758    474      46  185616     -0.47729      0.68342
54897        1   10626604   10806676    514      92  185616       1.1908      0.11686
148345       1   10936473   10992037    212      32  185616      0.87544      0.19067
23435        1   11002622   11035492     79      12  185616       1.2059      0.11393
10747        1   11016523   11057239     97      16  185616       1.0912      0.13759
6723         1   11044592   11070034     79      11  185616     -0.21388      0.58468
5394         1   11056613   11109910    167      11  185616     -0.48055      0.68458
2475         1   11096531   11272557    416      17  185616     -0.54669       0.7077
10218        1   11179289   11205981     57       8  185616      -1.2773      0.89925
29914        1   11263198   11306595     85      12  185616       1.6033     0.054435
57540        1   11469238   11547583    215      25  185616     -0.29547      0.61618
26232        1   11638361   11664831     82      31  185616      -1.8582      0.96843
93611        1   11644375   11673327     95      30  185616     -0.94315       0.8272
26270        1   11654093   11684354    104      24  185616      -1.0104      0.84384
10459        1   11664480   11701788    127      30  185616     -0.27714      0.60916
374946       1   11676647   11730612    181      44  185616     -0.15502       0.5616
57085        1   11725474   11760771    106      24  185616      -0.6669      0.74758
284498       1   11752183   11799585    212      21  185616      0.46099       0.3224
4524         1   11775730   11816103    215      16  185616      0.49472       0.3104
1185         1   11796096   11853144    281      19  185616      0.45288      0.32532
4878         1   11835709   11857783    101      16  185616      0.35081      0.36287
4879         1   11847464   11868935     86      19  185616   -0.0028843      0.50115
90231        1   11909588   11936428    111      21  185616       1.3435      0.08956
5351         1   11924667   11985542    188      25  185616       1.0548      0.14575
9927         1   11970181   12023515    163      22  185616      0.45752      0.32365
60672        1   12009242   12042049     78      19  185616      0.67873      0.24866
943          1   12053330   12154207    282      59  185616       1.3387     0.090333
7133         1   12156949   12219222    212      37  185616      0.29178      0.38523
55187        1   12220039   12522047    695      33  185616      0.18859      0.42521
9249         1   12557910   12628361    275      47  185616       1.7931     0.036476
343066       1   12634547   12677086    138      20  185616       1.0719      0.14188
126767       1   12706115   12738759     97      20  185616       1.8803     0.030034
93190        1   12736186   12771169    107      17  185616       1.6838     0.046114
390999       1   12753223   12787906     93      19  185616       1.2296      0.10942
65121        1   12781397   12806628     98      17  185616    -0.041096      0.51639
440560       1   12814380   12841410     88      16  185616     -0.30475      0.61972
343069       1   12837377   12858756    155      11  185616      0.26889      0.39401
65122        1   12847086   12871909    140      13  185616      0.33774      0.36778
400735       1   12869212   12896201     35       9  185616       2.3094      0.01046
343071       1   12882896   12908270     21       9  185616       2.1108     0.017397
441871       1   12906647   12930480      7       5  185616       0.5127      0.30408
440561       1   12928472   12957580      4       2  185616     -0.79838      0.78767
653606       1   12995048   13015624      1       1  185616      -1.2894      0.90138
101929983    1   13039808   13063659      2       1  185616       1.8442     0.032578
441873       1   13063678   13088038      1       1  185616     -0.30801      0.62096
440563       1   13105488   13126854     69      11  185616     -0.86319      0.80598
645359       1   13138751   13163111      2       1  185616      0.99968      0.15873
343068       1   13244198   13273435      2       1  185616       1.5269     0.063388
391002       1   13271304   13295137     10       4  185616      0.12567         0.45
645414       1   13358431   13381947      5       2  185616     -0.33354      0.63064
391004       1   13379632   13402629      8       3  185616       1.8965     0.028947
645425       1   13400450   13431354      4       2  185616     -0.54762      0.70803
126755       1   13464977   13523781    285      52  185616     -0.49494      0.68968
10630        1   13573757   13627957    216      49  185616      0.58091      0.28065
7799         1   13690240   13835079    455      44  185616     -0.43705      0.66896
23254        1   13883515   15128048   4865     396  185616      0.68003      0.24824
55092        1   15142532   15230478    465      37  185616       4.0817   2.2353e-05
727684       1   15154196   15181624    119      22  185616       3.3658   0.00038162
114827       1   15226602   15410283    725      86  185616     -0.35494      0.63868
79180        1   15399895   15440343    122      35  185616     -0.53258      0.70284
11330        1   15428442   15459247     87      24  185616       1.0914      0.13755
63036        1   15446728   15482091    121      27  185616       1.0036      0.15778
51032        1   15466101   15501400    130      22  185616        2.049     0.020232
842          1   15481401   15536529    201      15  185616       1.5007     0.066721
23341        1   15516813   15581733    193      18  185616       1.9769     0.024027
79814        1   15561699   15595110    153      15  185616       1.9809     0.023801
84301        1   15607458   15671057    161      13  185616       1.7704     0.038332
6248         1   15649869   15671722     49       7  185616       1.6437     0.050122
23207        1   15674267   15744769    226      24  185616       1.4484     0.073751
284723       1   15725088   15751392     62      16  185616      0.90107      0.18378
388595       1   15732492   15757797     62      15  185616       1.4525     0.073178
54751        1   15746171   15796589    156      30  185616       3.1765   0.00074534
440567       1   15797162   15817699     99      11  185616        1.076      0.14097
23013        1   15837864   15950455    235      36  185616     -0.40751      0.65818
7709         1   15931869   15986132    116      25  185616     -0.12786      0.55087
101928566    1   15966131   16007206    187      27  185616     0.095504      0.46196
149563       1   15994236   16016695    142      20  185616      0.68721      0.24598
27129        1   16004028   16028796    132      19  185616       1.2736       0.1014
1187         1   16011991   16044050    203      27  185616       1.6148     0.053182
1188         1   16033736   16067326    244      34  185616       1.4471     0.073928
348487       1   16047769   16083632    180      25  185616       0.8185      0.20653
1969         1   16114337   16166087    122      29  185616       2.1222     0.016912
128272       1   16187856   16222671    128      15  185616       2.3077     0.010509
101927546    1   16205907   16237036     89      18  185616       3.0252    0.0012424
79363        1   16221687   16247452     54      11  185616       2.2306     0.012853
54455        1   16236840   16362491    290      18  185616       1.7989     0.036016
26099        1   16357030   16408148    141      20  185616       2.0767     0.018916
374955       1   16377117   16447842    206      38  185616       1.5604     0.059337
55707        1   16430672   16470090    134      27  185616      0.79093      0.21449
102724970    1   16525773   16546956     24       9  185616      0.25473      0.39947
100133301    1   16528724   16550035     16       8  185616      0.45806      0.32345
55672        1   16552427   16623605      4       2  185616       1.4138     0.078713
729574       1   16663003   16683512     22      10  185616      0.51622      0.30285
102723383    1   16723807   16744539      4       2  185616      -1.6661      0.95215
11223        1   16744634   16774480      4       2  185616       1.9323     0.026658
9696         1   16885707   16982979    248      37  185616      0.54449      0.29305
4237         1   16964500   16991643     80      18  185616      -0.5106      0.69519
23400        1   16975958   17021972    107      18  185616      -1.4605      0.92792
6390         1   17008722   17064170    184      20  185616      -1.5861      0.94365
11240        1   17056761   17129453    341      26  185616      -1.5726      0.94209
29943        1   17195123   17256006    290      66  185616      0.39451       0.3466
51702        1   17239082   17294233    260      33  185616      0.36928      0.35596
23569        1   17298195   17374004    437      35  185616       1.6106     0.053633
353238       1   17362196   17411699    255      22  185616       1.3087     0.095321
55920        1   17396755   17449754    160      23  185616       1.0874      0.13844
55160        1   17510197   17707875    562      70  185616     -0.67621      0.75055
81569        1   17702000   17837063    416      57  185616      -1.8992      0.97123
84966        1   18097746   18388484   1118     153  185616     -0.67601      0.75048
127707       1   18470930   18495999    117      20  185616    -0.010755      0.50429
5081         1   18621006   18758866    439      86  185616     -0.35638      0.63922
80834        1   18829599   18869661    245      43  185616     -0.58746      0.72155
8659         1   18861430   18912799    266      35  185616      0.25593        0.399
126917       1   18894280   18966667    299      43  185616       1.6788     0.046598
23352        1   19064506   19220319    370      31  185616       0.3867      0.34949
23065        1   19205664   19261559    198      29  185616       1.0475      0.14742
51154        1   19241581   19270128    134      20  185616       1.1045      0.13469
22977        1   19264325   19299346    141      12  185616      0.25197      0.40053
8574         1   19292708   19322146    100      25  185616       1.4157     0.078431
54896        1   19302246   19342431    158      25  185616      0.80199      0.21128
832          1   19328773   19495641    614      37  185616     -0.23128      0.59145
440574       1   19586977   19639821    189      24  185616       1.1711      0.12077
100532736    1   19586977   19668456    293      36  185616      0.84902      0.19793
4681         1   19633229   19668456    134      31  185616      0.27944      0.38995
3362         1   19655287   19690966    111      16  185616     -0.96156      0.83186
255104       1   19672213   19810353    469      66  185616      0.35234      0.36229
54546        1   19804029   19825278    109      29  185616       0.4039      0.34314
23252        1   19871702   19922945    155      31  185616      0.81343      0.20798
30814        1   19910307   19933617     83      21  185616     -0.15465      0.56145
5320         1   19965431   19990439     96      24  185616       2.0868     0.018454
5322         1   20018339   20101901    275      31  185616       1.4117     0.079022
26279        1   20102650   20129566     88      31  185616       1.1466      0.12577
64600        1   20129326   20160386     80      32  185616       1.7177     0.042925
