GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
148398       1     915741     954581      2       1  85716      0.22398      0.41138
26155        1     934203     969299      2       1  85716     0.031862      0.48729
339451       1     949952     975720      3       2  85716      0.98777      0.16163
84069        1     956497     985108     21       4  85716       1.0671      0.14296
84808        1     965199     992117     30       5  85716       1.0099      0.15628
57801        1     988962    1011285     38       5  85716     -0.52832      0.70136
9636         1    1003467    1024540     44       5  85716     -0.92392      0.82224
375790       1    1010101    1066119    107      11  85716     -0.11782      0.54689
105369174    1    1051207    1076390     44       9  85716       0.1702      0.43243
105378948    1    1055635    1079326     37       9  85716    -0.063606      0.52536
401934       1    1061746    1084307     40       6  85716     -0.57036      0.71578
54991        1    1071818    1126356    155      14  85716     -0.94484      0.82763
254173       1    1163898    1207935    168      21  85716     -0.38459      0.64973
8784         1    1193508    1216709     72      10  85716      0.72354      0.23467
7293         1    1201326    1224638     80       8  85716       0.6119       0.2703
51150        1    1206908    1242067    140       9  85716      0.37557      0.35362
126792       1    1222249    1245041     96       6  85716     -0.10991      0.54376
388581       1    1232446    1257218     57       9  85716     0.087693      0.46506
118424       1    1243912    1283854     96      13  85716     -0.51556      0.69692
6339         1    1270415    1302029     88      15  85716      -1.3261      0.90759
116983       1    1282384    1317925     70      14  85716      -1.8383      0.96699
126789       1    1298571    1321677     31       6  85716      -1.2872      0.90099
54973        1    1301585    1334687     58       8  85716      -0.2912      0.61455
80772        1    1314756    1338896     50       7  85716     0.098289      0.46085
83756        1    1318999    1345320     66       8  85716      0.19979      0.42082
1855         1    1325278    1359158     83       9  85716      0.19265      0.42362
54587        1    1342689    1373541    100      11  85716     -0.29361      0.61547
54998        1    1363730    1385438     86       9  85716   -0.0092374      0.50369
81669        1    1375711    1409338     65       8  85716      0.96101      0.16827
55052        1    1391896    1417834     53       6  85716       1.2223      0.11079
441869       1    1408420    1431820     73       7  85716      0.85496      0.19629
643965       1    1416128    1437787     58       7  85716      0.59004      0.27758
64856        1    1425523    1452882     52      10  85716      0.56026      0.28765
219293       1    1431301    1480158     91      18  85716     -0.44814      0.67297
83858        1    1461732    1519479    130      18  85716      -1.0259      0.84754
55210        1    1502143    1544687    105      13  85716     -0.57966      0.71893
339453       1    1524778    1550360     61      11  85716     -0.24731      0.59767
29101        1    1531673    1584882    138      14  85716      0.35294      0.36207
643988       1    1588008    1610096     15       5  85716     0.061851      0.47534
142678       1    1604975    1640610      9       3  85716      0.63101      0.26402
8510         1    1622181    1644654      1       1  85716      0.46928      0.31944
984          1    1625226    1669839      1       1  85716      0.46928      0.31944
