GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
100996442    1     131934     184394      4       2  222078       0.1505      0.44019
105378580    1     793398     815130     29      14  222078      0.86843      0.19258
148398       1     915741     954581    121      25  222078       3.2046   0.00067634
26155        1     934203     969299     87      15  222078       3.8227   6.5991e-05
339451       1     949952     975720     81      17  222078       3.9954   3.2286e-05
84069        1     956497     985108     91      25  222078       3.8439   6.0543e-05
84808        1     965199     992117    100      24  222078       2.4246    0.0076636
57801        1     988962    1011285     82      13  222078    -0.087523      0.53487
9636         1    1003467    1024540     66      11  222078      -0.1659      0.56588
375790       1    1010101    1066119    163      23  222078      0.87498      0.19079
105369174    1    1051207    1076390     62      15  222078       1.7732     0.038102
105378948    1    1055635    1079326     49      13  222078        1.772     0.038193
401934       1    1061746    1084307     55      11  222078       1.7285     0.041945
54991        1    1071818    1126356    168      19  222078       1.3559     0.087558
254173       1    1163898    1207935    188      25  222078      0.31256      0.37731
8784         1    1193508    1216709     75      11  222078      0.23905      0.40553
7293         1    1201326    1224638     87      10  222078      0.88432      0.18826
51150        1    1206908    1242067    151      11  222078       1.0387      0.14948
126792       1    1222249    1245041    112       8  222078       1.1163      0.13214
388581       1    1232446    1257218     85      12  222078       1.0688      0.14258
118424       1    1243912    1283854    117      18  222078       1.0408      0.14898
6339         1    1270415    1302029     94      19  222078      0.15275       0.4393
116983       1    1282384    1317925     91      23  222078     0.056987      0.47728
126789       1    1298571    1321677     52      13  222078       0.8668      0.19302
54973        1    1301585    1334687     83      16  222078       1.3077     0.095488
80772        1    1314756    1338896     66      14  222078       1.5717     0.058009
83756        1    1318999    1345320     75      14  222078        1.497     0.067203
1855         1    1325278    1359158     93      13  222078       1.5378      0.06205
54587        1    1342689    1373541    112      13  222078       1.2544      0.10484
54998        1    1363730    1385438    103      12  222078        0.923        0.178
81669        1    1375711    1409338     93      13  222078       1.4222     0.077489
55052        1    1391896    1417834     68      11  222078       1.0509      0.14665
441869       1    1408420    1431820     83      11  222078       1.5801      0.05704
643965       1    1416128    1437787     68      12  222078       1.7053     0.044074
64856        1    1425523    1452882     73      14  222078       1.0024      0.15809
219293       1    1431301    1480158    149      23  222078      0.92536      0.17739
83858        1    1461732    1519479    173      19  222078      0.59151      0.27709
55210        1    1502143    1544687    120      20  222078     -0.49863      0.69098
339453       1    1524778    1550360     82      18  222078     -0.60734      0.72819
29101        1    1531673    1584882    133      21  222078    -0.064444      0.52569
643988       1    1588008    1610096     45       8  222078      0.35224      0.36233
142678       1    1604975    1640610     69      12  222078       1.2014       0.1148
8510         1    1622181    1644654     31       9  222078       1.3793     0.083909
984          1    1625226    1669839     50       9  222078       1.0475      0.14744
728661       1    1650025    1702804     84      16  222078   -0.0032096      0.50128
728642       1    1692730    1734352    103       9  222078     -0.74232      0.77105
9906         1    1714838    1755999    115      12  222078     -0.32385      0.62698
65220        1    1741232    1790514     89      13  222078      0.29849      0.38266
2782         1    1775285    1901117    166      21  222078    -0.077146      0.53075
105378949    1    1875960    1903010     39       9  222078     -0.49707      0.69043
163688       1    1903752    1927294     67       9  222078      -1.3125      0.90533
339456       1    1907589    1929301     68       9  222078      -1.2209      0.88893
85452        1    1911951    2013837    354      31  222078      0.46938       0.3194
2563         1    2009329    2040753     83      14  222078       1.2129      0.11258
5590         1    2040470    2195395    408      33  222078      0.28389      0.38825
100506504    1    2171811    2194360     42      11  222078      0.18142      0.42802
199990       1    2174460    2222720     97      21  222078     -0.18437      0.57314
105378592    1    2198942    2225211     56      16  222078     -0.51241      0.69582
6497         1    2218695    2320213    259      43  222078      0.93376      0.17521
105378594    1    2270383    2294676     81      26  222078       1.7422     0.040733
79906        1    2311253    2401751    313      41  222078       1.6901     0.045502
11079        1    2381314    2415444     83      21  222078       1.8788     0.030137
5192         1    2394802    2423780     88      22  222078       1.2988     0.097011
9651         1    2405782    2515530    387      55  222078      0.89528      0.18532
55229        1    2498531    2536628     95      13  222078       1.5803     0.057024
388585       1    2518745    2540245     45      11  222078       2.1684     0.015066
8764         1    2546365    2575622     60       7  222078       1.3012     0.096591
127281       1    2576460    2601469     83      10  222078      0.73826      0.23018
79258        1    2580639    2643042    191      13  222078      0.75614      0.22478
100287898    1    2626988    2799665    116      14  222078      0.26276      0.39637
140625       1    3011482    3032903     53       8  222078      0.55927      0.28799
63976        1    3058227    3448621   1437     172  222078      0.61854      0.26811
27237        1    3444583    3491115    152      18  222078       2.2807     0.011282
1953         1    3477942    3634757    567      85  222078      0.55127      0.29072
127262       1    3614992    3640131     75      13  222078     -0.36712      0.64324
49856        1    3620767    3660107     93      19  222078     -0.71842      0.76375
7161         1    3642565    3746201    315      56  222078     0.063269      0.47478
148870       1    3742398    3781645    148      27  222078       1.2824     0.099848
388588       1    3762761    3785982    113      18  222078       0.9243      0.17767
57470        1    3770220    3806504    173      25  222078      0.53826       0.2952
9731         1    3802081    3867387    352      20  222078     -0.31538      0.62376
1677         1    3847143    3895429    265      29  222078     -0.53668      0.70426
339448       1    3879133    3910293    121      16  222078      0.86243      0.19423
55966        1    4645045    4802534    654      84  222078      0.47253      0.31828
261734       1    5852808    6002505    412      24  222078      0.43001      0.33359
8514         1    5982298    6111193    330      51  222078      0.14627      0.44185
26038        1    6091787    6190134    289      32  222078     -0.24375      0.59629
6146         1    6175020    6209619     59      10  222078       1.6737     0.047095
388591       1    6195775    6231299     61      11  222078       1.7144     0.043229
23463        1    6211193    6245984     54       9  222078      0.22392      0.41141
390992       1    6234158    6255578     37       7  222078       1.0081       0.1567
387509       1    6237346    6270990     71      10  222078       1.0534      0.14608
11332        1    6254272    6403766    452      30  222078     -0.43254      0.66732
54626        1    6405232    6434664    101      12  222078     0.091617       0.4635
83715        1    6414776    6470944    151      17  222078      0.12594      0.44989
8718         1    6451151    6476195     46       9  222078     -0.45696      0.67615
57449        1    6456092    6530061    159      25  222078       1.1799      0.11902
79707        1    6511347    6564598    143       5  222078      0.86353      0.19392
80835        1    6545278    6589757    102      11  222078      0.62113      0.26726
3104         1    6569991    6599280     52      16  222078    0.0047152      0.49812
9903         1    6580724    6612898     49      12  222078      0.92219      0.17821
148479       1    6603696    6634033     48      10  222078       1.3245     0.092672
90326        1    6614865    6645586     61      11  222078      0.97645      0.16442
55735        1    6624168    6711906    164      18  222078      0.96056      0.16839
23261        1    6775324    7779706   2334     203  222078     -0.49066      0.68817
9341         1    7761269    7791432     76      16  222078     -0.36586      0.64277
8863         1    7774380    7855181    269      25  222078     -0.91488      0.81987
10911        1    7837612    7923610    324      31  222078      -1.4346       0.9243
3604         1    7905871    7953165     98      16  222078     -0.67266      0.74942
11315        1    7951654    7995283     82      13  222078      -1.7755      0.96209
54206        1    8001719    8036333     49       7  222078      -1.4561      0.92732
50651        1    8308085    8354167    112      17  222078      0.84232       0.1998
473          1    8342404    8827691    625      25  222078       1.2526      0.10518
2023         1    8851000    8889092     55       8  222078      0.65171      0.25729
765          1    8935785    8985092    154      38  222078       1.5838     0.056615
155184       1    8950853    9036384    282      60  222078       1.6255     0.052029
6518         1    9026943    9081704    189      27  222078      0.79565      0.21312
80045        1    9093391    9139170    113      17  222078       2.0029     0.022595
9563         1    9224776    9281337    191      29  222078       1.3992     0.080874
80176        1    9282882    9379532    378      61  222078       1.3704     0.085286
84275        1    9529469    9592773     82      10  222078       1.4175     0.078175
199953       1    9578853    9624877     55       7  222078       1.1398      0.12718
5293         1    9619889    9739114    254      36  222078       1.0369       0.1499
22883        1    9719021    9834526    303      14  222078      0.22126      0.41244
56998        1    9838276    9920258    123      19  222078      0.82097      0.20583
84328        1    9912110    9953402     79      13  222078      0.94292      0.17286
64802        1    9932923    9995501    103      15  222078       1.0943       0.1369
105376719    1    9986423   10008089     42       8  222078      0.81536      0.20743
116362       1    9987197   10026020     67      10  222078      0.89363      0.18576
10277        1   10022983   10191239    311      18  222078      0.98959      0.16119
23095        1   10200706   10391603    519      17  222078       2.1902     0.014255
5226         1   10388992   10430511    106      17  222078       2.8056    0.0025113
378708       1   10420102   10452815     96      12  222078       3.3242   0.00044339
100526739    1   10420102   10462003    105      13  222078       3.3268   0.00043927
1325         1   10439719   10462003     34       8  222078       3.7724   8.0845e-05
1676         1   10450531   10482556     52      11  222078       4.6082   2.0305e-06
5195         1   10464946   10640758    395      34  222078       5.3555   4.2666e-08
54897        1   10626604   10806676    415      80  222078       3.0186    0.0012695
148345       1   10936473   10992037    188      26  222078       1.0074      0.15687
23435        1   11002622   11035492     69       9  222078      -0.4876      0.68708
10747        1   11016523   11057239     76       9  222078     -0.30686      0.62052
6723         1   11044592   11070034     61       6  222078       1.0118      0.15581
5394         1   11056613   11109910    139       7  222078       1.3911     0.082092
2475         1   11096531   11272557    340      11  222078       1.1876      0.11749
10218        1   11179289   11205981     46       5  222078       1.3756      0.08447
29914        1   11263198   11306595     67       7  222078      0.33984      0.36699
57540        1   11469238   11547583    168      16  222078    -0.011189      0.50446
26232        1   11638361   11664831     58      19  222078       2.7007    0.0034593
93611        1   11644375   11673327     69      19  222078       1.4565     0.072631
26270        1   11654093   11684354     79      16  222078      0.78124      0.21733
10459        1   11664480   11701788    100      22  222078    -0.094948      0.53782
374946       1   11676647   11730612    141      31  222078       -1.101      0.86455
57085        1   11725474   11760771     74      14  222078     -0.61095      0.72939
284498       1   11752183   11799585    185      17  222078        1.705     0.044096
4524         1   11775730   11816103    194      14  222078       1.0801      0.14005
1185         1   11796096   11853144    258      16  222078      0.75213      0.22599
4878         1   11835709   11857783     95      14  222078      0.71671      0.23678
4879         1   11847464   11868935     69      14  222078       1.1319      0.12884
90231        1   11909588   11936428     91      15  222078      0.38542      0.34996
5351         1   11924667   11985542    155      18  222078        1.446     0.074095
9927         1   11970181   12023515    129      15  222078        1.069      0.14254
60672        1   12009242   12042049     61      13  222078      0.16165      0.43579
943          1   12053330   12154207    244      54  222078      -1.6209      0.94748
7133         1   12156949   12219222    163      26  222078       -1.528      0.93674
55187        1   12220039   12522047    385      33  222078     -0.37917      0.64772
9249         1   12557910   12628361    240      41  222078      -0.7212      0.76461
343066       1   12634547   12677086     88       9  222078      -2.2344      0.98727
126767       1   12706115   12738759     83      15  222078      -1.3328       0.9087
93190        1   12736186   12771169     86      12  222078      -2.3297      0.99009
390999       1   12753223   12787906     77      14  222078      -2.4172      0.99218
65121        1   12781397   12806628    121      22  222078     -0.88874      0.81293
440560       1   12814380   12841410     77      19  222078      0.64148      0.26061
343069       1   12837377   12858756     98      11  222078     -0.52879      0.70152
65122        1   12847086   12871909    106      11  222078     -0.74251      0.77111
400735       1   12869212   12896201     49      17  222078     -0.30329      0.61916
343071       1   12882896   12908270     29      11  222078      0.26329      0.39616
441871       1   12906647   12930480      9       5  222078       0.4527      0.32538
440561       1   12928472   12957580      2       1  222078      0.55777       0.2885
101929983    1   13039808   13063659      1       1  222078     -0.50242      0.69231
440563       1   13105488   13126854     61      10  222078     -0.36716      0.64325
645359       1   13138751   13163111      1       1  222078      0.12448      0.45047
391002       1   13271304   13295137      2       1  222078      -1.0929      0.86279
645382       1   13293516   13319027      1       1  222078       1.0126      0.15562
653619       1   13305581   13332595      1       1  222078       1.0126      0.15562
729528       1   13331892   13357134      2       1  222078      0.52984      0.29811
645414       1   13358431   13381947     31      12  222078       1.4425     0.074588
391004       1   13379632   13402629     35      11  222078       0.1173      0.45331
645425       1   13400450   13431354     21       7  222078      -1.5238      0.93622
126755       1   13464977   13523781    239      48  222078    -0.074418      0.52966
10630        1   13573757   13627957    166      35  222078      -1.5755      0.94243
7799         1   13690240   13835079    363      30  222078      0.95389      0.17007
23254        1   13883515   15128048   4095     332  222078      0.23047      0.40886
55092        1   15142532   15230478    417      32  222078       1.4028     0.080338
727684       1   15154196   15181624     99      16  222078      0.81625      0.20718
114827       1   15226602   15410283    623      70  222078      0.66622      0.25264
79180        1   15399895   15440343    104      27  222078       1.1854      0.11793
11330        1   15428442   15459247     76      18  222078       2.3581    0.0091833
63036        1   15446728   15482091    103      20  222078       1.1259      0.13009
51032        1   15466101   15501400    111      16  222078      0.75023      0.22656
842          1   15481401   15536529    183      12  222078       0.6748       0.2499
23341        1   15516813   15581733    162      12  222078      0.75748      0.22438
79814        1   15561699   15595110    134      11  222078      0.70667      0.23989
84301        1   15607458   15671057    124       8  222078       1.1993      0.11521
6248         1   15649869   15671722     36       4  222078        1.429     0.076496
23207        1   15674267   15744769    183      16  222078      0.76347      0.22259
284723       1   15725088   15751392     56      12  222078    -0.089746      0.53576
388595       1   15732492   15757797     66      14  222078     0.074484      0.47031
54751        1   15746171   15796589    114      20  222078      0.80379      0.21076
440567       1   15797162   15817699     94      11  222078     0.098645      0.46071
23013        1   15837864   15950455    221      29  222078     -0.78256      0.78306
7709         1   15931869   15986132    101      20  222078     -0.80628      0.78996
101928566    1   15966131   16007206    161      21  222078      -1.1824      0.88147
149563       1   15994236   16016695    128      16  222078     -0.93587      0.82533
27129        1   16004028   16028796    111      13  222078      -0.8203      0.79398
1187         1   16011991   16044050    164      20  222078     -0.66639      0.74742
1188         1   16033736   16067326    182      23  222078    -0.035231      0.51405
348487       1   16047769   16083632    145      19  222078     -0.20738      0.58214
1969         1   16114337   16166087    103      22  222078      0.78014      0.21765
128272       1   16187856   16222671    110      10  222078       2.3193      0.01019
101927546    1   16205907   16237036     69      11  222078       1.7745     0.037989
79363        1   16221687   16247452     43       7  222078       0.9162      0.17978
54455        1   16236840   16362491    227      17  222078      0.30847      0.37886
26099        1   16357030   16408148    114      13  222078       1.4951     0.067448
374955       1   16377117   16447842    161      25  222078       1.2559      0.10457
55707        1   16430672   16470090    100      16  222078     0.021783      0.49131
102724970    1   16525773   16546956     42      13  222078      -0.6543      0.74354
100133301    1   16528724   16550035     36      13  222078     -0.51661      0.69728
55672        1   16552427   16623605     14       9  222078     -0.17819      0.57071
729574       1   16663003   16683512     23       8  222078       1.6542     0.049042
11223        1   16744634   16774480      7       5  222078      0.15111      0.43994
9696         1   16885707   16982979    162      36  222078     -0.51642      0.69722
4237         1   16964500   16991643     69      13  222078      -0.9267      0.82296
23400        1   16975958   17021972     94      15  222078     -0.44419      0.67155
6390         1   17008722   17064170    162      16  222078     0.087924      0.46497
11240        1   17056761   17129453    302      19  222078      0.46337      0.32155
29943        1   17195123   17256006    233      53  222078      0.87202       0.1916
51702        1   17239082   17294233    209      30  222078      0.86329      0.19399
23569        1   17298195   17374004    364      27  222078       1.7167     0.043019
353238       1   17362196   17411699    219      20  222078       5.0871    1.818e-07
55920        1   17396755   17449754    125      14  222078       3.9964   3.2154e-05
55160        1   17510197   17707875    477      63  222078      0.91662      0.17967
81569        1   17702000   17837063    320      36  222078     -0.18767      0.57443
84966        1   18097746   18388484    944     129  222078      0.39331      0.34705
127707       1   18470930   18495999    103      16  222078       3.1389   0.00084778
5081         1   18621006   18758866    345      66  222078     -0.33535      0.63132
80834        1   18829599   18869661    198      32  222078      -1.3084      0.90464
8659         1   18861430   18912799    197      27  222078     -0.56833      0.71509
126917       1   18894280   18966667    214      32  222078      -1.6024      0.94546
23352        1   19064506   19220319    267      18  222078      -0.9827      0.83712
23065        1   19205664   19261559    152      19  222078      -1.2743      0.89873
51154        1   19241581   19270128    117      16  222078      -0.7065      0.76006
22977        1   19264325   19299346    135      10  222078     -0.21413      0.58478
8574         1   19292708   19322146     83      19  222078      0.55521      0.28938
54896        1   19302246   19342431    136      19  222078     -0.20274      0.58033
832          1   19328773   19495641    497      28  222078     -0.47729      0.68342
440574       1   19586977   19639821    108      17  222078     -0.57039      0.71579
100532736    1   19586977   19668456    190      33  222078     -0.51946      0.69828
4681         1   19633229   19668456    101      24  222078     -0.41233      0.65995
3362         1   19655287   19690966     90      12  222078     0.078513      0.46871
255104       1   19672213   19810353    400      53  222078      -1.7689      0.96155
54546        1   19804029   19825278     98      25  222078      -0.8471      0.80153
23252        1   19871702   19922945    108      18  222078     -0.20238      0.58019
30814        1   19910307   19933617     62      13  222078     -0.48182      0.68503
