GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
79501        1      59091      80008     21       8  726828     -0.10175      0.54052
100996442    1     131934     184394      5       3  726828     0.038105       0.4848
102725121    1     171045     194254      1       1  726828      -1.3806       0.9163
105378947    1     576287     621297     15       9  726828       1.1221       0.1309
81399        1     675716     696654      3       2  726828     -0.58733      0.72151
105378580    1     793398     815130     48      23  726828      0.32899      0.37108
148398       1     915741     954581    143      29  726828     -0.26217      0.60341
26155        1     934203     969299    118      20  726828       0.2013      0.42023
339451       1     949952     975720    106      21  726828      0.34627      0.36457
84069        1     956497     985108    119      30  726828      0.30267      0.38107
84808        1     965199     992117    112      27  726828      0.48621      0.31341
57801        1     988962    1011285     93      15  726828       1.1263      0.13002
9636         1    1003467    1024540     71      12  726828       1.7015     0.044424
375790       1    1010101    1066119    183      25  726828       1.0939        0.137
105369174    1    1051207    1076390     81      19  726828      0.27569      0.39139
105378948    1    1055635    1079326     68      18  726828      0.66295      0.25368
401934       1    1061746    1084307     62      12  726828       1.0205      0.15375
54991        1    1071818    1126356    215      22  726828       1.1952        0.116
254173       1    1163898    1207935    214      29  726828     -0.41241      0.65998
8784         1    1193508    1216709     78      12  726828     -0.61042      0.72921
7293         1    1201326    1224638     93      11  726828      -0.5201       0.6985
51150        1    1206908    1242067    162      11  726828     -0.53488      0.70363
126792       1    1222249    1245041    121       8  726828     -0.65345      0.74327
388581       1    1232446    1257218    101      14  726828     -0.13522      0.55378
118424       1    1243912    1283854    143      23  726828     -0.17598      0.56985
6339         1    1270415    1302029    146      30  726828     -0.36478      0.64236
116983       1    1282384    1317925    142      33  726828     -0.44375      0.67139
126789       1    1298571    1321677     57      15  726828     -0.14378      0.55716
54973        1    1301585    1334687     93      18  726828    -0.082454      0.53286
80772        1    1314756    1338896     74      15  726828    -0.042913      0.51711
83756        1    1318999    1345320     91      15  726828     0.097663       0.4611
1855         1    1325278    1359158    107      15  726828      0.22094      0.41257
54587        1    1342689    1373541    126      14  726828      0.39532       0.3463
54998        1    1363730    1385438    115      13  726828      0.23506      0.40708
81669        1    1375711    1409338     92      13  726828     -0.23436      0.59265
55052        1    1391896    1417834     68      10  726828      0.25001      0.40129
441869       1    1408420    1431820     90      11  726828       0.2292      0.40936
643965       1    1416128    1437787     75      12  726828      0.39873      0.34505
64856        1    1425523    1452882     80      16  726828     -0.64008      0.73894
219293       1    1431301    1480158    176      27  726828      -1.6272      0.94815
83858        1    1461732    1519479    238      26  726828       -1.454      0.92703
55210        1    1502143    1544687    181      25  726828      -1.8548      0.96819
339453       1    1524778    1550360    112      20  726828      -1.6755      0.95308
29101        1    1531673    1584882    204      24  726828      -1.2194      0.88866
643988       1    1588008    1610096     60      11  726828      0.37033      0.35557
142678       1    1604975    1640610     78      14  726828        1.018      0.15434
8510         1    1622181    1644654     32       9  726828       1.5977     0.055056
984          1    1625226    1669839     66      11  726828       1.1546      0.12413
728661       1    1650025    1702804    113      23  726828       2.5439    0.0054816
728642       1    1692730    1734352    155      13  726828       1.7936     0.036439
9906         1    1714838    1755999    162      17  726828       2.3281    0.0099522
65220        1    1741232    1790514    108      15  726828       2.2343     0.012733
2782         1    1775285    1901117    182      23  726828       2.2891     0.011038
105378949    1    1875960    1903010     44       9  726828       2.2797     0.011314
163688       1    1903752    1927294     76       9  726828       2.2303     0.012865
339456       1    1907589    1929301     77       9  726828       2.2152     0.013373
85452        1    1911951    2013837    453      36  726828       1.8388     0.032969
2563         1    2009329    2040753     95      15  726828      0.98488      0.16234
5590         1    2040470    2195395    479      39  726828       1.6057     0.054166
100506504    1    2171811    2194360     49      14  726828       1.8898     0.029393
199990       1    2174460    2222720    106      24  726828       1.9715     0.024334
105378592    1    2198942    2225211     59      17  726828       2.0777      0.01887
6497         1    2218695    2320213    281      48  726828       3.7203   9.9474e-05
105378594    1    2270383    2294676     94      31  726828       3.0173    0.0012753
79906        1    2311253    2401751    354      44  726828       2.8355    0.0022879
11079        1    2381314    2415444     94      22  726828       1.8985     0.028813
