GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
105369174    1    1051207    1076390      2       1  129118       1.8457      0.03247
105378948    1    1055635    1079326      2       1  129118       1.8457      0.03247
401934       1    1061746    1084307     15       2  129118       1.1539      0.12427
54991        1    1071818    1126356     88       7  129118       1.9507     0.025549
254173       1    1163898    1207935    151      19  129118      0.84496      0.19907
8784         1    1193508    1216709     66       9  129118      0.58589      0.27897
7293         1    1201326    1224638     72       7  129118      0.14411      0.44271
51150        1    1206908    1242067    132       8  129118     -0.15467      0.56146
126792       1    1222249    1245041     98       6  129118     -0.35868      0.64008
388581       1    1232446    1257218     59       7  129118     -0.21019      0.58324
118424       1    1243912    1283854     77       9  129118        1.289     0.098695
6339         1    1270415    1302029     53       6  129118       1.7198     0.042738
116983       1    1282384    1317925     30       6  129118       1.7327     0.041572
126789       1    1298571    1321677     12       3  129118      0.97198      0.16553
54973        1    1301585    1334687     17       4  129118      0.78245      0.21698
80772        1    1314756    1338896     11       3  129118      0.58562      0.27907
83756        1    1318999    1345320     15       3  129118      0.63092      0.26405
1855         1    1325278    1359158     18       3  129118      0.84023      0.20039
54587        1    1342689    1373541     11       3  129118      0.98612      0.16204
54998        1    1363730    1385438      9       2  129118      0.97359      0.16513
81669        1    1375711    1409338     12       2  129118       1.2888     0.098737
55052        1    1391896    1417834     20       2  129118        1.094      0.13698
441869       1    1408420    1431820     18       2  129118      0.72474      0.23431
643965       1    1416128    1437787      7       1  129118      0.45565      0.32432
2782         1    1775285    1901117      2       1  129118      -1.4768      0.93014
105378949    1    1875960    1903010      1       1  129118      -1.1318      0.87113
163688       1    1903752    1927294     22       1  129118     -0.74368      0.77147
339456       1    1907589    1929301     24       1  129118     -0.72763      0.76658
85452        1    1911951    2013837    123      12  129118      0.15276      0.43929
2563         1    2009329    2040753     35       8  129118      0.22248      0.41197
5590         1    2040470    2195395    385      30  129118      -0.6588      0.74499
100506504    1    2171811    2194360     41      10  129118     -0.43159      0.66698
199990       1    2174460    2222720     90      19  129118      -0.3113      0.62221
105378592    1    2198942    2225211     50      15  129118     -0.59674      0.72466
6497         1    2218695    2320213    234      43  129118      -1.3352      0.90909
